S.No,Company Name,Company profile,Country,Acquired Year,Acquired by
794,Spring,Open source Java development framework,California,2009,Vmware
795,PLUMgrid,Network virtualization for SDN,California,2016,Vmware
796,Apteligent,Cloud based platform offering application performance monitoring solutions,California,2017,Vmware
797,Boxer,Inbox management app,Texas,2015,Vmware
798,AetherPal,Mobile support management solution for enterprise & mobile operator,New Jersey,2019,Vmware
799,CloudVolumes,"Instant workload management solutions for enterprise server, desktop, and cloud environments.",California,2014,Vmware
800,AirWatch,Limited information available,Georgia,2014,Vmware
801,Bitnami,Simple application deployment,Seville,2019,Vmware
802,Socialcast,Social Business Communication Software,California,2011,Vmware
803,Desktone,Desktop as a Service (DaaS),Chelmsford,2013,Vmware
804,Virsto Software,Storage virtualization at VM layer,California,2013,Vmware
805,Wanova,Virtualized desktop management,Netanya,2012,Vmware
806,DynamicOps,Cloud automation & management solutions provider,Massachusetts,2012,Vmware
807,WaveMaker,Platform offering baas integrated application development solution,California,2011,Vmware
808,Nicira,Network Virtualization platform for SDDC,California,2012,Vmware
809,PacketMotion,User activity monitoring & NAC based insider threat detection,California,2011,Vmware
810,Continuent,Open Source Data Replication engine,California,2014,Vmware
811,Integrien,Performance analytics and alerting,California,2010,Vmware
812,NeoAccel,3rd Generation VPN,California,2011,Vmware
813,TriCipher,User authentication software and SSO,California,2010,Vmware
814,Dunes Technologies,provides virtual services and virtual desktop orchestratos,Lausanne,2007,Vmware
815,B-hive Networks,Infrastructure Manager,California,2008,Vmware
816,Akimbi Systems,Virtual infrastructure management solutions,California,2006,Vmware
817,Blue Lane,Controlled code execution based data center security,California,2008,Vmware
818,Octarine,Security solution for cloud-native applications,California,2020,Vmware
819,Mesh7,Provides cloud-based API security,California,2021,Vmware
820,Cetas,offers web hosting services,California,2012,Vmware
821,Shavlik Technologies,Patch and configuration management solutions for SMBs,Minnesota,2011,Vmware
822,Uhana,Software defined Mobile networks,California,2019,Vmware
823,Immidio,User environment manager,Amsterdam,2015,Vmware
824,Third Sky,"IT Service Management consulting, education and technology provider",California,2014,Vmware
825,Zilker Technology,"IT consultancy for Cloud, eCommerce and managed service providers",Texas,2020,EY
826,Fabernovel,Product and services for different businesses,Paris,2022,EY
827,Entegreat,Digital platform offering gaming news,Alabama,2015,EY
828,Applix,"Mobile solutions for brands, publishers and institutions in Italy",Cagliari,2017,EY
829,Mycroft,"Consulting and deployment service for IAM, regulatory compliance solution",Texas,2015,EY
830,Pangea3,Legal and intellectual property outsourcing company,New York,2019,EY
831,Intuitive Company,User experience services to brands,Pennsylvania,2015,EY
832,ENTG,"Provider of digital marketing, IT, and business consulting services",Zagreb,2019,EY
833,ElevatedPrompt,Provider of cybersecurity solutions,Vancouver,2019,EY
834,FreshWorks Studio,Mobile application development services,Victoria,2022,EY
835,Spotmentor,Platform that connects students and teachers,Mumbai,2020,EY
836,C3 Business Solutions,Information management and business intelligence solutions,Melbourne,2015,EY
837,Seaton Partners,Provider of ERP consulting services,UK,2021,EY
838,Seren,International design consultancy,London,2015,EY
839,Q4 Associates,"Provider of digital transformation, consulting, tax and assurance services",Auckland,2022,EY
840,Peak EPM,Private equity firm focused on multiple sectors,Edinburgh,2021,EY
841,Parthenon,"Strategy services for investment strategy, corporate strategy",Massachusetts,2014,EY
842,Axiom Forensics,Provider of forensic accounting and investigation services,Sydney,2022,EY
843,Hacktics,Automated web vulnerability scanner and security testing services,Herzliya,2011,EY
844,RPR Partners,Tax advisory service provider,California,2018,EY
845,Greenwich Consulting,Consulting and advisory services provider,France,2013,EY
846,Aleron Security,"Cyber security solution implementation, consultancy and professional services",Sydney,2019,EY
847,Xynapse,Identity and access management solutions,Kuala Lumpur,2018,EY
848,INTER-CULTURA,Provider of business management consulting services,Vicente Lopez,2020,EY
849,Client Solutions,"Provider of BI, data analytics, software development, and other services",Dublin,2022,EY
850,etventure,Business digitalization service provider,Berlin,2017,EY
851,Aspect Security,Application Security Services Provider,Maryland,2017,EY
852,Christensen Advisory,M&A and corporate finance advisory firm focused on multiple sectors,Wan Chai,2022,EY
853,SuMO,Provider of IT operations management services,Toronto,2021,EY
854,EY VODW,Provider of digital transformation services,Leusden,2018,EY
855,Society Consulting,"Analytics, big data, and customer experience consulting services",Washington,2016,EY
856,KALYDIA,"Provider of advisory, insurance, tax and transaction services",Levallois-perret,2020,EY
857,Open Windows,SaaS-based modular procurement software suite,Hawthorn,2017,EY
858,Blackdot,Provider of customer experience services,Australia,2022,EY
859,TAO Leadership,Provider of strategy management consulting services,Arizona,2021,EY
860,T-Plus,Provider of strategy business management services,Seoul,2022,EY
861,Integrc,"SAP GRC consulting, implementation and support service",Amsterdam,2015,EY
862,Riverview Law,Limited information available,Bromborough,2018,EY
863,Lane4,"Provider of accounting, audit and tax consulting services",,2021,EY
864,Sweeney Research,One of the largest Australian owned research consultancies,Sydney,2014,EY
865,Innovalue Management Advisors,Consulting services for the financial sector,Hamburg,2016,EY
866,Gensquared,Provider of data analytics services,Toronto,2022,EY
867,E-STET,SaaS based eDiscovery solution,California,2017,EY
868,Kling & Pathak,Limited information available,California,2019,EY
869,NorthPoint Digital,Technology and design solutions for document and experience management,New York,2015,EY
870,Tasman Consulting,HR integration advisory services during M&A,California,2016,EY
871,BPM Specialists,Business Process Management technology services,Georgia,2014,EY
872,CMA Strategy Consulting,"Consulting services for telecom, media and tech industries",Massachusetts,2021,EY
873,Valitax,VAT verification and tax allocation platform,Rumst,2020,EY
874,Citizen,Application development service provider,Oregon,2018,EY
875,UMT Consulting Group,Limited information available,New York,2016,EY
876,C Centric,CRM and sales enablement solutions for BFSI businesses,Bangalore,2019,EY
877,DKM Economic Consultants,Economic research and advisory solutions provider,Dublin,2018,EY
878,Adelphi Digital Consulting Group,"Provider of market research, content marketing, SMM, and website development services",Singapore,2018,EY
879,SecureWorx,"Provider of cybersecurity, cloud management, and managed security services",Glen Waverley,2021,EY
880,8th Man Consulting,Oracle enterprise performance management consulting solutions,Fourways,2014,EY
881,IZAZI Solutions,Multiple banking software solutions provider,Johannesburg,2015,EY
882,Pythagoras Communications,Provider of IT services suite,Maidenhead,2021,EY
883,CFORS,Cloud-based Reporting Compliance solutions,Utrecht,2014,EY
884,Cambria Solutions,Limited information available,California,2022,EY
885,Splt,Enterprise carpooling,New York,2018,Robert Bosch
886,Climatec,Provider of solutions for building automation,Arizona,2015,Robert Bosch
887,Akustica,Fabless semiconductor company that develops MEMS microphones,Pennsylvania,2009,Robert Bosch
888,Health Hero Network,Offers technology-based solutions for remote health monitoring and management.,California,2007,Robert Bosch
889,sia Abrasives Industries,Limited information available,Frauenfeld,2008,Robert Bosch
890,HC-CARGO,Supplier of automotive electrical components,Esbjerg,2007,Robert Bosch
891,Health Hero Network,Offers technology-based services for remote health monitoring and management,California,2007,Robert Bosch
892,Telex,Provider of Top-of-Line Communication Equipment,California,2006,Robert Bosch
893,Aleo solar,Manufactures solar PV modules,Prenzlau,2014,Robert Bosch
894,Symantec,Enterprise security solution suite,USA,2019,Broadcom
895,Peter Norton Computing,"PC utilities like antivirus, spyware removal compression and online backup software",California,1990,Symantec
896,Luminate Security,software-defined network security,Texas,2019,Symantec
897,Javelin Networks,Deception & SDN based network security,Tel Aviv,2018,Symantec
898,Skycure,Device protection against Malwares,Tel Aviv,2017,Symantec
899,Appthority,Mobile App Risk Analysis,California,2018,Symantec
900,FireGlass,Endpoint security solutions provider,Tel Aviv,2017,Symantec
901,Watchful Software,Make data and access security products,Coimbra,2017,Symantec
902,LifeLock,Cyber identity theft protection and prevention platform,Arizona,2016,Symantec
903,Nukona,Mobile application management,California,2012,Symantec
904,SurfEasy,Provider of SSL VPN based secure and private browsing,Toronto,2017,Symantec
905,PasswordBank,Cloud-based secure authentication solutions provider,Barcelona,2013,Symantec
906,Clearwell Systems,Limited information available,California,2011,Symantec
907,GuardianEdge,Encryption & device control based endpoint data protection,California,2010,Symantec
908,PGP Corporation,PGP based email & data encryption software,California,2010,Symantec
909,LiveOffice,"Cloud-based email archiving, compliance, and hosting solution provider",California,2012,Symantec
910,Mi5 Networks,Secure web gateway to detect web based malware,California,2009,Symantec
911,Vontu,Policy based data loss prevention software,California,2007,Symantec
912,Blue Coat,Enterprise security solution suite,California,2016,Symantec
913,Revivio,Continuous data protection based data backup and recovery appliance,Massachusetts,2006,Symantec
914,IMlogic,Instant messaging management & security solution for enterprise,California,2006,Symantec
915,WholeSecurity,Behavior-based security and anti-phishing technology,Texas,2005,Symantec
916,Sygate,NAC based endpoint security solution,California,2005,Symantec
917,Relicore,Automated datacenter change and configuration management solution,Massachusetts,2006,Symantec
918,SwapDrive,Enterprise storage and collaboration platform,District of Columbia,2008,Symantec
919,Riptech,Managed network security service for threat detection in enterprise,Virginia,2002,Symantec
920,SecurityFocus,Online community to discuss computer security related topics,California,2002,Symantec
921,CTB,Decentralized venture contribution platform,California,2008,Symantec
922,Brightmail,Anti spam and web filtering solution,California,2004,Symantec
923,Skydesk,Provider of online data backup solutions for the small offices,California,2008,Symantec
924,ATstake,Vulnerability assessment of website and security training and consulting,Massachusetts,2004,Symantec
925,MessageLabs,Cloud based security solution for online messaging and web security services,Gloucester,2008,Symantec
926,PowerQuest,Data storage management and recovery software,Utah,2003,Symantec
927,Delrina,"PC fax software, web browser & other internet utility",Toronto,1995,Symantec
928,Softscan,Managed email and messaging security services,California,2009,Symantec
929,RuleSpace,Limited information available,California,2010,Symantec
930,Odyssey Software,Mobile Device Management Software,New York,2012,Symantec
931,4front Security,Security governance and business assessment software,Virginia,2007,Symantec
932,NitroDesk,Security via containerization,Washington,2014,Symantec
933,Axent Technologies,Information Security Solutions provider,Maryland,2000,Symantec
934,Altiris,Provider of software development services,Utah,2007,Symantec
935,Hacker Academy,Online courses in ethical hacking,Nevada,2015,Symantec
936,Outlier Security,Agentless Endpoint Threat Detection & Response,Nevada,2017,Symantec
937,Recourse Technologies,NIDS and honeypot based network threat detection,California,2002,Symantec
938,Bindview,"Policy, configuration & compliance enforcement software for IT security compliance",Texas,2005,Symantec
939,Kenna Security,Provider of cloud based risk and vulnerability assessment platform,California,2021,CISCO
940,Epsagon,Platform for monitoring of micro services and serverless architectures,Tel Aviv,2021,CISCO
941,IMImobile,Cloud-based technology provider for customer engagement,London,2020,CISCO
942,Socio,Event management and attendee networking mobile apps,Indiana,2021,CISCO
943,BabbleLabs,Provider of speech enhancement technologies for enterprises,California,2020,CISCO
944,Archrock,Provider of natural gas compression solutions for midstream companies,Texas,2010,CISCO
945,Voicea,Provider of an AI-based meeting and agenda management platform,California,2019,CISCO
946,ThousandEyes,Cloud monitoring and troubleshooting solution,California,2020,CISCO
947,replex,Platform for monitoring and providing metrics on the IT infrastructure,Duisburg,2021,CISCO
948,Portshift,Cloud based platform offering container security solutions,Tel Aviv,2020,CISCO
949,Banzai Cloud,Platform offering container deployment software,Budapest,2020,CISCO
950,Sentryo,Cybersecurity & situation awareness solution for industrial networks & IoT,Lyon,2019,CISCO
951,CloudCherry,Customer experience management software,Utah,2019,CISCO
952,Duo,Provider of SSO and MFA based IAM solutions,Michigan,2018,CISCO
953,Observable,Threat detection using dynamic endpoint modelling and analytics,Missouri,2017,CISCO
954,Accompany,Contextual Lead intelligence application,California,2018,CISCO
955,Sedona Systems,Real time network layer monitoring,California,2021,CISCO
956,Viptela,Providing Secure Extensible Networks,California,2017,CISCO
957,Skyport Systems,Provider of cloud infrastructure security solutions,California,2018,CISCO
958,Springpath,Distributed file system storage for hyperconvergence,California,2017,CISCO
959,Modcam,Platform for video content analysis through image processing,Lund,2020,CISCO
960,AppDynamics,Cloud based application performance monitoring software provider,California,2017,CISCO
961,Perspica,Machine learning enabled IT operation analytics application,California,2017,CISCO
962,Piston Cloud,"Scalable Private Cloud OS, built on OpenStack",California,2015,CISCO
963,1Mainstream,Cloud-based video content management platform provider,California,2016,CISCO
964,WorkLife,Collaboration tool for for meetings,California,2016,CISCO
965,MindMeld,Platform to develop intelligent conversational interfaces,California,2017,CISCO
966,CloudLock,Cloud Data Security,Tel Aviv,2016,CISCO
967,July Systems,Mobile proximity marketing & app development platform,California,2018,CISCO
968,BroadSoft,Unified communication solutions for service providers and enterprises,Maryland,2017,CISCO
969,Altiga Networks,VPN solutions for remote access applications,Massachusetts,2002,CISCO
970,OpenDNS,Cloud-based web filtering and DNS solutions provider,California,2015,CISCO
971,Team Metacloud,Private OpenStack as-a-Service Cloud,California,2014,CISCO
972,Jasper,Provider of a network connectivity platform for mobile Internet of Things,California,2016,CISCO
973,Embrane,Platform for virtual network services,California,2015,CISCO
974,Luxtera,Manufacturer of transceivers for optical communication,California,2018,CISCO
975,MaintenanceNet News,Provider of software development services,California,2015,CISCO
976,Assemblage,Limited information available,Tennessee,2014,CISCO
977,ParStream,Analytics for IoT,Cologne,2015,CISCO
978,Synata,Cloud enabled search across enterprise applications,California,2016,CISCO
979,Neohapsis,Security and GRC advisory and consulting service,Illinois,2014,CISCO
980,Acacia,Provider of high-speed coherent optical interconnect products,Massachusetts,2019,CISCO
981,Slido,Cloud-based audience engagement software provider for events,Bratislava,2020,CISCO
982,Whiptail,All-Flash Storage Systems,New Jersey,2013,CISCO
983,Cloupia,Offered cloud automation and management,California,2012,CISCO
984,Ubiquisys,"Developer of multimode LTE, 3G and Wi-Fi small cells",Swindon,2013,CISCO
985,Involvio,Platform helping students on college and university campuses to find the events happening around the campus,New York,2021,CISCO
986,Tail-f Systems,Networking Software,Stockholm,2014,CISCO
987,JouleX,Energy monitoring in data centers,Georgia,2013,CISCO
988,Cognitive Security,Threat detection using AI based network behavior analysis,Prague,2013,CISCO
989,Virtuata,Virtual machine & data security in multi-tenant data center,California,2012,CISCO
990,Lightwire,Manufacturer of interconnects,California,2012,CISCO
991,Intucell,Software platform for SON (Self Optimizing Network),Raanana,2013,CISCO
992,BroadHop,Policy Management and Subscriber Analytics Solutions,Colorado,2012,CISCO
993,BNI Video,Video distribution software for video service providers,California,2011,CISCO
994,Memoir Systems,Memory solutions,California,2014,CISCO
995,Versly,Provider of software development services,California,2011,CISCO
996,SolveDirect,IT services management and collaboration platform,Vienna,2013,CISCO
997,Truviso,Data analytics,California,2012,CISCO
998,ClearAccess,Software for provisioning and management of residential and mobile devices.,Washington,2012,CISCO
999,CoreOptics,Designer of ICs and Transponder Modules for high speed optical networking applications,California,2010,CISCO
1000,ScanSafe,Cloud delivered web-proxy based website security,California,2009,CISCO
1001,Inlet Technologies,Video encoding solutions provider,North Carolina,2011,CISCO
1002,Rohati Systems,Policy based virtual infrastructure security,California,2010,CISCO
1003,newScale,Cloud automation and management software,California,2011,CISCO
1004,Navini Networks,Internet Access system based on WiMAX,Texas,2007,CISCO
1005,Pure Digital,Provides video and sound graphic technology solutions,California,2009,CISCO
1006,Cognio,Spectrum Intelligence Provider,Maryland,2007,CISCO
1007,PostPath,Enterprise collaboration software,California,2008,CISCO
1008,Lancope,Context aware security analytics using iterative threat intelligence,Georgia,2015,CISCO
1009,Sourcefire,Enterprise threat management solutions,Maryland,2013,CISCO
1010,NeoPath Networks,Develops Network File Management solutions,California,2007,CISCO
1011,Pure Networks,Secure networking solution for home and small business,Washington,2008,CISCO
1012,CXO Systems,Business risk intelligence software,California,2006,CISCO
1013,Starent Networks,Multimedia core technology,Massachusetts,2009,CISCO
1014,IronPort Systems,Appliance based email and web security gateway and management,California,2007,CISCO
1015,Metreos Corporation,Converged telephony solutions provider,Texas,2006,CISCO
1016,Greenfield Networks,Ethernet Switching Chip,California,2006,CISCO
1017,Airespace,Enterprise networking equipment provider,California,2005,CISCO
1018,Orative,Conferencing and collaboration software for mobile business users,California,2006,CISCO
1019,Sheer Networks,Provider of network design and management services,California,2005,CISCO
1020,Actona Technologies,Wide-Area File Storage Services,California,2004,CISCO
1021,Protego Networks,SIEM appliance for security threat mitigation,California,2004,CISCO
1022,Dynamic Soft,Session Initiation Protocol (SIP)-based solution for Telecom Providers,New Jersey,2004,CISCO
1023,Topspin Communications,Server fabric switches for data centers,California,2005,CISCO
1024,BroadWare,IP-based video surveillance management software,California,2007,CISCO
1025,P-Cube,Traffic analysis and control software solutions provider,Tel Aviv,2004,CISCO
1026,AXIOM Systems,Information technology consulting services and products to the healthcare industry for maintaining HIPAA compliance,Maryland,2011,CISCO
1027,FineGround Networks,Provider of web application development services,Illinois,2005,CISCO
1028,Okena,Network access control solution for HIDS & endpoint security,Massachusetts,2003,CISCO
1029,Radiata,CMOS 5GHz WLAN chipsets,Sydney,2000,CISCO
1030,WebEx,Cloud and AI-based platform for video conferencing,California,2007,CISCO
1031,PixStream,Provider of video networking solutions,Waterloo,2000,CISCO
1032,IPCell Technologies,Limited information available,Texas,2000,CISCO
1033,Webline,Provider of software development services,California,1999,CISCO
1034,InfoGear Technology,Provider of Internet appliances and software used to manage information appliances for internet access,California,2000,CISCO
1035,Transmedia Communications,"Provider of business consulting services for investment bankers, PE, VC and non-profit institutions",Hong Kong,1999,CISCO
1036,StratumOne Communications,Developer of network processors,California,1999,CISCO
1037,Compatible Systems Corporation,VPN solutions provider,California,2000,CISCO
1038,Cerent,Provider of optical equipment maker for routing telephone calls and internet traffic on and off fiber optic lines,California,1999,CISCO
1039,Growth Networks,Internet switching fabric solutions,California,2000,CISCO
1040,skystone,Offers construction management services,New York,1997,CISCO
1041,GeoTel,Provider of telecommunications infrastructure data in a GIS and internet based spatial technologies,Florida,1999,CISCO
1042,TGV Software,Cloud-based enterprise networking management software provider,California,1996,CISCO
1043,Telebit,Provider of managed networking services,California,1996,CISCO
1044,SyPixx Networks,Video surveillance software and hardware,Connecticut,2006,CISCO
1045,Fibex Systems,Digital Loop Carrier,California,1999,CISCO
1046,Monterey Networks,Designer of high-capacity telecommunications networking switches,Texas,1999,CISCO
1047,American Internet Corporation,Provider of hosting services,Massachusetts,1998,CISCO
1048,Portcullis Computer Security,IT Security services,Pinner,2015,CISCO
1049,Riverhead Networks,"Distributed denial of service attack detection, alert and protection solution",California,2004,CISCO
1050,AuroraNetics,Silicon technology for metropolitan fiber networks,California,2001,CISCO
1051,Netiverse,Content acceleration solutions,California,2000,CISCO
1052,Parc Technologies,Network Optimization Solutions,London,2004,CISCO
1053,Netsolve,Real-time network monitoring solution,Texas,2004,CISCO
1054,tazznet.com,Provider of software development services,,1999,CISCO
1055,cocom.dk,Provider of broadband services,Soborg,1999,CISCO
1056,ThreatGRID,Malware Analysis and Threat Intelligence,New York,2014,CISCO
1057,Reactivity,"Application acceleration - XML manager, gateway and firewall solutions",California,2007,CISCO
1058,Arroyo Video Solutions,Video on demand solutions provider for video delivery,California,2006,CISCO
1059,Collaborate,Cloud-based team collaboration platform,Massachusetts,2013,CISCO
1060,Tropo,Cloud Communications API,California,2015,CISCO
1061,Audium,Speech self-service application development and management environments,California,2006,CISCO
1062,telesend.com,VPN solutions provider,,1997,CISCO
1063,Tandberg,Provider of video conferencing and telepresence products,Lysaker,2009,CISCO
1064,ATL,Logistics and transportation services provider,Derby,2000,CISCO
1065,Divitech,Digital service management solution provider,Hoersholm,2008,CISCO
1066,Insieme Networks,Hardware based response to SDN & NFV,Pennsylvania,2013,CISCO
1067,Five Across,Community management platform for websites,California,2007,CISCO
1068,Richards-Zeta Building Intelligence,Provider of an energy management solution for smart buildings,California,2009,CISCO
1069,Tivella,Digital signage solutions provider,California,2006,CISCO
1070,Nuova Systems,Datacenter Switch solutions,California,2008,CISCO
1071,42hertz,Limited information available,Texas,2019,CISCO
1072,Precept.com,Limited information available,,1998,CISCO
1073,Sipura Technology,VoIP telephone adapters provider,California,2005,CISCO
1074,Summa,Manufacturer and seller of programmable switches,Ohio,1998,CISCO
1075,DAGAZ Technologies,Provider of technology solution for increasing the data-carrying capacity of copper telephone wires,New Jersey,1997,CISCO
1076,Lightspeed International,Voice signalling solutions provider,Virginia,1997,CISCO
1077,Sightpath,technology to provide content delivery solutions,Massachusetts,2000,CISCO
1078,Pari Networks,Network configuration and change management solutions,California,2011,CISCO
1079,NDS Group,Provides video software and content security solutions to media companies,Jerusalem,2012,CISCO
1080,Aironet,High speed Wireless LAN products,Ohio,1999,CISCO
1081,Moto Development Group,Products and strategies development consultancy,California,2010,CISCO
1082,Amteva Technologies,Middleware platform for integrating unified communications,Virginia,1999,CISCO
1083,WheelGroup,Limited information available,Texas,1998,CISCO
1084,Cmpute,On Demand AWS scalability,California,2017,CISCO
1085,Sentient Networks,Provider of network design services,California,1999,CISCO
1086,Combinet,Enterprise network equipment provider,California,1995,CISCO
1087,Dashbase,Indexing and search engine for time series data,California,2020,CISCO
1088,ThinkSmart,Provider of IT service suite solutions,Michigan,2012,CISCO
1089,Ardent Communications,Wide Area Network (WAN) access solutions,Bristol,1997,CISCO
1090,Acano,"Integrated platform for video, audio and web collaboration.",London,2015,CISCO
1091,Selsius,Developer of IP based telephonic systems,Laeba Semiconductor,1998,CISCO
1092,Laeba Semiconductor,Fabless company in network infrastructure space,Hadera,2016,CISCO
1093,Arrowpoint Communications,Provider of intelligent switches,Massachusetts,2000,CISCO
1094,TransMedia Communications,"Provider of equipment that brings voice, video and data together in a single computer network",,1999,CISCO
1095,calista.com,Cybersecurity suite solutions provider,California,1999,CISCO
1096,Pawaa,Encryption and key management based DLP solutions,Bangalore,2015,CISCO
1097,Twingo Systems,SSL VPN based network security,California,2004,CISCO
1098,ContainerX,Platform offering container orchestration software,California,2016,CISCO
1099,Tandberg,Provider of managed network infrastructure services,,2009,CISCO
1100,Stratacom,Provider of managed networking services,California,1996,CISCO
1101,Latigent,Web-based business intelligence and analytics reporting solutions for call centers,Illinois,2007,CISCO
1102,vCider,Virtual network overlay technology developer,California,2012,CISCO
1103,Hammerhead Networks,Software solutions enabling IP services,Massachusetts,2002,CISCO
1104,StrataCom,IT management services,North Dakota,1996,CISCO
1105,NetSys Technologies,Network management and performance analysis tools,California,1996,CISCO
1106,Exablaze,Network devices for ultra low latency environments,Sydney,2019,CISCO
1107,V-bits,Provides software development services,California,1999,CISCO
1108,DiviTech,Provider of network management services,Tirana,2008,CISCO
1109,LineSider Technologies,Network Management software,Massachusetts,2010,CISCO
1110,Fluidmesh,Wireless backhaul solutions provider,Illinois,2020,CISCO
1111,IPmobile,Developer of IP Radio Access Network(IP-RAN),Texas,2000,CISCO
1112,Jetcell,Wireless communication equipment for corporate needs,California,2000,CISCO
1113,Securent,entitlement management solutions,California,2007,CISCO
1114,KiSS Technology,Provider of networked entertainment products,California,2005,CISCO
1115,Pipelinks.com,Develops high-bandwidth remote access equipment for networking systems,,1998,CISCO
1116,Maxcomm Technologies,Provider of telemarketing services,California,1999,CISCO
1117,Jabber,Presence and instant messaging system,Colorado,2008,CISCO
1118,Singularity Networks,Real time network monitoring and analytics,Colorado,2019,CISCO
1119,Cariden Technologies,Network Design and Traffic Management tool,California,2012,CISCO
1120,NuSpeed Internet Systems,Connects SAN and IP Networks,Minnesota,2000,CISCO
1121,Span Logic,Processors to improve packet processing speeds across network,California,2007,CISCO
1122,BCN Systems,Networking software solution for routing applications,California,2004,CISCO
1123,Jahi Networks,Enterprise network management solution provider,California,2004,CISCO
1124,classdata.com,Limited information available,,1998,CISCO
1125,Ensoft,Provider of software development services,Harpenden,2018,CISCO
1126,Psionic,Intrusion detection system for network security,Texas,2002,CISCO
1127,Nintendo,Consumer electronics and game development company,Washington,2021,Microsoft
1128,Activision Blizzard,Video game developer and publisher,California,2022,Microsoft
1129,Nuance,AI based conversational and customer engagement platform,London,2021,Microsoft
1130,Ally,OKR-based performance management software,Washington,2021,Microsoft
1131,CloudKnox Security,Cloud security platform for hybrid cloud environments,California,2016,Microsoft
1132,RiskIQ,Cyber threat intelligence and digital threat management platform,California,2021,Microsoft
1133,Clipchamp,Online video creation platform,Brisbane,2021,Microsoft
1134,Two Hat,Provides social networks and community management solutions,Kelowna,2021,Microsoft
1135,Minit,Provider of BI & process mining solutions,Bratislava,2022,Microsoft
1136,ReFirm Labs,"Automated IoT firmware vulnerability discovery, assessment, and remediation",Maryland,2021,Microsoft
1137,Suplari,AI-based data analysis platform,Washington,2021,Microsoft
1138,CyberX,Provider of network monitoring and threat detection solutions,Massachusetts,2020,Microsoft
1139,Affirmed Networks,Mobile network virtualization solution,North Carolina,2020,Microsoft
1140,PromoteIQ,Software solution for on-site promotions,New York,2019,Microsoft
1141,Softomotive,Back office automation for multiple verticals,London,2020,Microsoft
1142,Clear Software,Robotic process automation platform,Indiana,2021,Microsoft
1143,Bonsai,Provides platform to integrate AI into existing applications,California,2018,Microsoft
1144,FSLogix,Policy based desktop virtualization,Georgia,2018,Microsoft
1145,Smash,Platform to simplify hosting eSports tournaments,California,2020,Microsoft
1146,Peer5,Serverless P2P CDN For Live Video Streaming,Tel Aviv,2021,Microsoft
1147,inXile entertainment,Video game developer for PC and console devices,Newport,2018,Microsoft
1148,ZeniMax,Video game developer and publisher,District of Columbia,2020,Microsoft
1149,Avere,NAS optimisation solution,Pennsylvania,2018,Microsoft
1150,Double Fine,Developer of PC and console-based casual games,California,2019,Microsoft
1151,PlayFab,Backend platform for online games,Washington,2018,Microsoft
1152,BlueTalon,Access Control Policy Engine,California,2019,Microsoft
1153,Cloudyn,Cloud Computing Optimization,Tel Aviv,2017,Microsoft
1154,Cycle Computing,Cluster management solutions provider,New York,2017,Microsoft
1155,Hexadite,Automated cyber incidence response solution,Tel Aviv,2017,Microsoft
1156,Maluuba,Deep Learning for machine reading comprehension,Waterloo,2017,Microsoft
1157,Semantic Machines,Provider of AI-based Speech Recognition Interfaces,Massachusetts,2018,Microsoft
1158,Howdy,"Bot which can schedule meetings, collect status updates from teams, etc.",Texas,2018,Microsoft
1159,Citusdata,Provider of distributed relational databases,California,2019,Microsoft
1160,Flipgrid,Video discussion forum,Minnesota,2018,Microsoft
1161,XOXCO,Product design and development studio,Texas,2018,Microsoft
1162,Genee,Smart meeting scheduling app,Pennsylvania,2016,Microsoft
1163,GitHub,Provider of a cloud based open source platform for source code management,California,2018,Microsoft
1164,AltspaceVR,Provider of a VR social platform,California,2017,Microsoft
1165,Metanautix,Data integration,California,2015,Microsoft
1166,Chalkup,LMS with student discussion portal,California,2018,Microsoft
1167,Wand Labs,Mobile App for integrating different apps,California,2016,Microsoft
1168,Adallom,Cloud security gateway platform,Tel Aviv,2015,Microsoft
1169,MileIQ,Mileage tracking software for small business owners and self-employed individuals,California,2015,Microsoft
1170,FantasySalesTeam,Incentive Contests Modeled on Fantasy Sports for the enterprise,Texas,2015,Microsoft
1171,Metaswitch,SoftSwitch and VOIP solutions provider,London,2020,Microsoft
1172,N-trig,Developer of single-chip controllers for pens and touchscreens,Texas,2015,Microsoft
1173,Acompli,Provider of cloud app for managing multiple email accounts,California,2014,Microsoft
1174,Tinder,Online proximity-based dating and matchmaking platform,Dublin,2021,Microsoft
1175,VoloMetrix,People analytics solution for the enterprise,Washington,2015,Microsoft
1176,Secure Islands,Data loss prevention using policy driven immunization by endpoint agents,Beit Dagan,2015,Microsoft
1177,Xamarin,Provider of cross platform application development platform,California,2016,Microsoft
1178,Sunrise,Smart calendar app,New York,2015,Microsoft
1179,BlueStripe,Transaction & Application Monitoring,Pennsylvania,2015,Microsoft
1180,TakeLessons,Marketplace for tutoring: in-person & online lessons,California,2021,Microsoft
1181,Aorato,Active Directory protection through entity behavior analysis,Herzliya,2014,Microsoft
1182,Wunderlist,Cloud-based task management application,Berlin,2015,Microsoft
1183,SwiftKey,AI based keyboard application for predicting texts,London,2016,Microsoft
1184,Apiphany,API Management and delivery platform,District of Columbia,2013,Microsoft
1185,Mover,Cloud to Cloud data migration,Edmonton,2019,Microsoft
1186,InMage Systems,Cloud-based disaster recovery and business continuity,California,2014,Microsoft
1187,Simplygon,3D graphics optimization tool for game developers,Linkoping,2017,Microsoft
